,time_of_day,month_of_year,node_number
0,2,10,37
1,3,12,37
2,1,12,37
3,2,1,37
4,1,7,37
5,1,6,37
6,3,7,37
7,2,2,37
8,2,7,37
9,1,2,37
10,2,2,37
11,1,5,37
12,1,7,37
13,1,6,37
14,1,11,37
15,3,2,37
16,3,8,37
17,3,3,37
18,2,4,37
19,1,4,37
20,2,8,37
21,3,11,37
22,3,7,37
23,2,7,37
24,1,12,37
25,2,8,37
26,3,8,37
27,1,1,37
28,2,9,37
29,1,9,37
30,2,2,37
31,2,1,37
32,2,10,37
33,3,6,37
34,2,6,37
35,1,7,37
36,1,1,37
37,3,8,37
38,3,12,37
39,1,2,37
40,2,3,37
41,2,5,37
42,1,9,37
43,3,12,37
44,1,12,37
45,2,5,37
46,3,10,37
47,2,2,37
48,3,6,37
49,1,12,37
50,2,12,37
51,1,7,37
52,1,10,37
53,1,10,37
54,3,7,37
55,3,2,37
56,2,1,37
57,3,8,37
58,2,1,37
59,2,6,37
60,2,1,37
61,3,3,37
62,2,6,37
63,2,5,37
64,3,5,37
65,1,11,37
66,2,5,37
67,1,5,37
68,3,6,37
69,2,8,37
70,3,10,37
71,3,4,37
72,1,2,37
73,3,12,37
74,3,12,37
75,2,1,37
76,3,12,37
77,1,5,37
78,2,8,37
79,3,4,37
80,2,12,37
81,3,11,37
82,1,10,37
83,2,6,37
84,1,12,37
85,2,12,37
86,3,9,37
87,1,5,37
88,2,3,37
89,2,7,37
90,2,5,37
91,3,5,37
92,1,1,37
93,3,4,37
94,3,4,37
95,2,3,37
96,2,3,37
97,1,2,37
98,1,6,37
99,2,5,37
100,3,6,37
101,1,7,37
102,2,2,37
103,2,11,37
104,3,7,37
105,1,3,37
106,1,3,37
107,2,4,37
108,3,11,37
109,3,1,37
110,3,9,37
111,3,7,37
112,1,1,37
113,3,12,37
114,3,11,37
115,3,10,37
116,3,3,37
117,2,10,37
118,1,3,37
119,1,3,37
120,2,6,37
121,3,6,37
122,3,9,37
123,3,6,37
124,3,5,37
125,1,8,37
126,3,2,37
127,2,5,37
128,1,4,37
129,2,10,37
130,3,3,37
131,2,11,37
132,2,7,37
133,2,3,37
134,1,5,37
135,3,5,37
136,3,9,37
137,3,5,37
138,2,3,37
139,3,3,37
140,3,11,37
141,3,5,37
142,3,7,37
143,1,4,37
144,3,8,37
145,3,8,37
146,3,5,37
147,3,11,37
148,3,7,37
149,1,1,37
150,2,10,37
151,3,1,37
152,2,2,37
153,2,6,37
154,3,2,37
155,3,8,37
156,2,5,37
157,1,5,37
158,3,5,37
159,2,5,37
160,1,10,37
161,2,9,37
162,3,6,37
163,3,3,37
164,1,4,37
165,1,1,37
166,1,6,37
167,3,4,37
168,3,12,37
169,3,4,37
170,1,3,37
171,2,4,37
172,2,11,37
173,2,11,37
174,2,12,37
175,1,4,37
176,1,2,37
177,3,7,37
178,3,10,37
179,1,10,37
180,3,3,37
181,3,7,37
182,1,12,37
183,2,7,37
184,3,10,37
185,3,11,37
186,3,4,37
187,3,2,37
188,2,12,37
189,1,3,37
190,1,12,37
191,2,5,37
192,1,9,37
193,2,8,37
194,1,6,37
195,1,10,37
196,2,8,37
197,2,10,37
198,2,3,37
199,1,4,37
200,2,12,37
201,1,4,37
202,3,5,37
203,1,2,37
204,3,5,37
205,2,5,37
206,2,9,37
207,2,5,37
208,2,4,37
209,1,2,37
210,3,4,37
211,1,4,37
212,3,7,37
213,3,11,37
214,2,5,37
215,3,3,37
216,1,3,37
217,2,7,37
218,3,8,37
219,1,5,37
220,3,6,37
221,3,7,37
222,3,8,37
223,1,12,37
224,3,5,37
225,2,4,37
226,3,5,37
227,3,2,37
228,2,4,37
229,3,9,37
230,3,2,37
231,3,8,37
232,1,2,37
233,1,10,37
234,3,11,37
235,2,5,37
236,2,7,37
237,2,5,37
238,1,12,37
239,2,6,37
240,2,7,37
241,2,6,37
242,3,12,37
243,2,4,37
244,3,2,37
245,3,11,37
246,2,3,37
247,3,6,37
248,2,2,37
249,3,3,37
250,2,3,37
251,1,6,37
252,2,10,37
253,2,2,37
254,3,4,37
255,1,4,37
256,2,3,37
257,3,11,37
258,2,12,37
259,1,12,37
260,3,1,37
261,1,3,37
262,1,11,37
263,2,3,37
264,2,5,37
265,3,10,37
266,3,1,37
267,2,11,37
268,1,9,37
269,1,6,37
270,2,3,37
271,3,7,37
272,1,10,37
273,1,1,37
274,2,1,37
275,1,2,37
276,2,3,37
277,3,7,37
278,3,4,37
279,1,8,37
280,1,4,37
281,3,10,37
282,3,3,37
283,2,1,37
284,3,11,37
285,3,6,37
286,3,12,37
287,3,5,37
288,1,11,37
289,2,2,37
290,3,2,37
291,1,9,37
292,1,2,37
293,3,3,37
294,3,3,37
295,3,9,37
296,1,3,37
297,2,7,37
298,2,3,37
299,1,5,37
300,2,5,37
301,2,8,37
302,3,11,37
303,1,12,37
304,3,4,37
305,3,5,37
306,1,1,37
307,1,7,37
308,3,9,37
309,1,1,37
310,2,10,37
311,3,3,37
312,1,5,37
313,1,12,37
314,1,10,37
315,1,11,37
316,1,9,37
317,1,10,37
318,2,6,37
319,2,6,37
320,1,2,37
321,1,10,37
322,2,9,37
323,3,8,37
324,1,10,37
325,2,2,37
326,3,5,37
327,2,9,37
328,3,5,37
329,2,3,37
330,3,4,37
331,1,11,37
332,1,2,37
333,1,4,37
334,1,1,37
335,2,6,37
336,1,5,37
337,2,12,37
338,3,6,37
339,2,1,37
340,1,5,37
341,1,4,37
342,3,4,37
343,2,3,37
344,1,5,37
345,2,8,37
346,1,2,37
347,3,6,37
348,3,3,37
349,2,8,37
350,2,7,37
351,2,2,37
352,2,2,37
353,1,12,37
354,3,3,37
355,1,4,37
356,1,2,37
357,2,12,37
358,2,6,37
359,3,2,37
360,2,11,37
361,2,3,37
362,3,2,37
363,1,2,37
364,1,9,37
365,3,12,37
366,2,4,37
367,3,5,37
368,2,12,37
369,3,8,37
370,1,9,37
371,1,10,37
372,2,9,37
373,3,11,37
374,1,9,37
375,3,11,37
376,3,7,37
377,3,6,37
378,3,3,37
379,1,2,37
380,2,8,37
381,3,7,37
382,1,3,37
383,3,6,37
384,2,3,37
385,3,1,37
386,2,10,37
387,2,8,37
388,2,8,37
389,3,12,37
390,2,11,37
391,1,12,37
392,3,10,37
393,3,11,37
394,3,4,37
395,2,9,37
396,3,12,37
397,3,7,37
398,2,12,37
399,3,3,37
400,3,3,37
401,1,2,37
402,1,8,37
403,3,9,37
404,2,11,37
405,3,8,37
406,1,1,37
407,3,12,37
408,3,7,37
409,3,3,37
410,2,11,37
411,3,5,37
412,3,12,37
413,1,9,37
414,1,10,37
415,2,1,37
416,1,7,37
417,1,11,37
418,3,6,37
419,3,4,37
420,1,12,37
421,3,7,37
422,2,5,37
423,1,5,37
424,3,8,37
425,1,1,37
426,2,1,37
427,3,6,37
428,1,12,37
429,1,12,37
430,1,8,37
431,1,1,37
432,2,3,37
433,2,4,37
434,3,4,37
435,3,2,37
436,1,9,37
437,2,4,37
438,2,4,37
439,2,3,37
440,2,6,37
441,1,9,37
442,2,5,37
443,1,5,37
444,1,10,37
445,2,2,37
446,2,4,37
447,2,3,37
448,2,8,37
449,1,1,37
450,2,11,37
451,3,7,37
452,3,5,37
453,3,2,37
454,1,8,37
455,3,9,37
456,3,7,37
457,3,8,37
458,3,6,37
459,1,3,37
460,3,9,37
461,1,8,37
462,1,4,37
463,2,4,37
464,1,4,37
465,3,1,37
466,1,1,37
467,1,7,37
468,2,2,37
469,2,5,37
470,3,8,37
471,2,4,37
472,2,6,37
473,3,12,37
474,1,1,37
475,1,3,37
476,1,5,37
477,2,7,37
478,2,8,37
479,2,11,37
480,2,5,37
481,1,11,37
482,1,1,37
483,1,9,37
484,3,1,37
485,3,3,37
486,2,6,37
487,3,8,37
488,2,1,37
489,3,11,37
490,1,2,37
491,3,2,37
492,1,1,37
493,2,5,37
494,1,6,37
495,1,11,37
496,1,7,37
497,3,4,37
498,1,10,37
499,3,10,37
500,1,11,37
501,2,1,37
502,3,4,37
503,1,1,37
504,2,1,37
505,1,1,37
506,3,1,37
507,1,10,37
508,2,12,37
509,2,7,37
510,2,8,37
511,1,3,37
512,3,7,37
513,2,5,37
514,1,10,37
515,2,3,37
516,3,9,37
517,3,3,37
518,2,5,37
519,3,8,37
520,1,3,37
521,1,12,37
522,2,4,37
523,1,1,37
524,3,1,37
525,2,9,37
526,3,3,37
527,2,3,37
528,2,12,37
529,2,3,37
530,1,7,37
531,1,7,37
532,2,10,37
533,1,4,37
534,1,5,37
535,3,10,37
536,1,6,37
537,3,12,37
538,2,7,37
539,2,10,37
540,3,8,37
541,1,9,37
542,3,4,37
543,2,9,37
544,1,5,37
545,2,9,37
546,3,11,37
547,2,6,37
548,2,2,37
549,3,9,37
550,2,12,37
551,3,8,37
552,2,1,37
553,3,8,37
554,3,7,37
555,1,3,37
556,3,9,37
557,1,9,37
558,3,4,37
559,2,11,37
560,2,12,37
561,3,7,37
562,1,2,37
563,2,3,37
564,2,8,37
565,3,9,37
566,1,7,37
567,1,3,37
568,2,2,37
569,3,8,37
570,2,9,37
571,2,2,37
572,1,11,37
573,1,1,37
574,2,2,37
575,1,9,37
576,1,10,37
577,3,7,37
578,1,5,37
579,2,5,37
580,2,4,37
581,1,10,37
582,2,1,37
583,1,12,37
584,3,1,37
585,3,8,37
586,2,1,37
587,1,1,37
588,1,11,37
589,2,1,37
590,2,8,37
591,2,8,37
592,3,9,37
593,3,11,37
594,2,2,37
595,2,5,37
596,3,4,37
597,3,4,37
598,3,10,37
599,2,3,37
600,2,12,37
601,3,8,37
602,2,8,37
603,1,4,37
604,2,12,37
605,1,2,37
606,2,8,37
607,3,4,37
608,1,1,37
609,3,9,37
610,2,12,37
611,3,12,37
612,3,4,37
613,2,1,37
614,3,10,37
615,3,9,37
616,2,1,37
617,1,4,37
618,1,2,37
619,2,5,37
620,3,4,37
621,3,2,37
622,2,9,37
623,3,4,37
624,3,11,37
625,1,5,37
626,2,10,37
627,1,10,37
628,3,3,37
629,2,6,37
630,3,12,37
631,2,8,37
632,1,12,37
633,2,5,37
634,2,10,37
635,1,2,37
636,1,8,37
637,1,9,37
638,1,4,37
639,1,12,37
640,3,4,37
641,3,7,37
642,1,6,37
643,2,12,37
644,2,8,37
645,2,10,37
646,1,2,37
647,3,6,37
648,2,1,37
649,2,7,37
650,1,4,37
651,2,10,37
652,3,4,37
653,1,7,37
654,2,9,37
655,2,4,37
656,2,10,37
657,3,8,37
658,3,4,37
659,3,7,37
660,2,2,37
661,1,8,37
662,1,1,37
663,1,11,37
664,2,10,37
665,1,8,37
666,2,7,37
667,2,10,37
668,2,1,37
669,1,2,37
670,2,7,37
671,3,1,37
672,3,3,37
673,1,9,37
674,2,3,37
675,3,11,37
676,3,5,37
677,2,10,37
678,3,5,37
679,2,12,37
680,3,11,37
681,1,9,37
682,2,2,37
683,3,2,37
684,1,6,37
685,2,1,37
686,3,3,37
687,3,4,37
688,2,8,37
689,2,4,37
690,2,11,37
691,2,7,37
692,1,10,37
693,1,2,37
694,2,7,37
