,x,y,number of police station
0,0,13,0
1,0,14,0
2,0,15,0
3,0,16,0
4,0,17,0
5,0,18,0
6,0,19,0
7,0,20,0
8,0,22,0
9,0,30,0
10,1,13,0
11,1,14,0
12,1,15,0
13,1,16,0
14,1,17,0
15,1,18,0
16,1,19,0
17,1,20,0
18,1,21,0
19,1,22,0
20,1,23,0
21,1,24,0
22,1,25,0
23,1,26,0
24,1,27,0
25,1,28,0
26,1,29,0
27,1,30,0
28,2,13,0
29,2,14,0
30,2,15,0
31,2,16,0
32,2,17,0
33,2,18,0
34,2,19,0
35,2,20,0
36,2,21,0
37,2,23,0
38,2,24,0
39,2,26,0
40,2,27,0
41,2,28,0
42,2,29,0
43,2,30,0
44,2,31,0
45,2,33,0
46,3,12,0
47,3,13,0
48,3,14,0
49,3,15,0
50,3,16,0
51,3,18,0
52,3,19,0
53,3,20,0
54,3,22,0
55,3,25,0
56,3,26,0
57,3,27,0
58,3,28,0
59,3,29,0
60,3,30,0
61,3,31,0
62,3,33,0
63,3,34,0
64,3,35,0
65,4,12,0
66,4,15,0
67,4,16,0
68,4,18,0
69,4,19,0
70,4,20,0
71,4,22,0
72,4,29,0
73,4,30,0
74,4,31,0
75,4,32,0
76,4,33,0
77,4,35,0
78,4,36,0
79,4,38,0
80,5,11,0
81,5,12,0
82,5,13,0
83,5,14,0
84,5,16,0
85,5,17,0
86,5,19,0
87,5,20,0
88,5,21,0
89,5,25,0
90,5,26,0
91,5,27,0
92,5,28,0
93,5,29,0
94,5,30,0
95,5,32,0
96,5,35,0
97,5,36,0
98,5,37,0
99,5,38,0
100,5,39,0
101,5,40,0
102,5,41,0
103,5,42,0
104,6,10,0
105,6,12,0
106,6,13,0
107,6,16,0
108,6,19,0
109,6,21,0
110,6,28,0
111,6,29,0
112,6,30,0
113,6,31,0
114,6,32,0
115,6,33,0
116,6,34,0
117,6,35,0
118,6,36,0
119,6,37,0
120,6,38,0
121,6,39,0
122,6,40,0
123,6,41,0
124,6,43,0
125,6,44,0
126,6,45,0
127,6,47,0
128,6,48,0
129,6,49,0
130,6,50,0
131,6,51,0
132,6,172,0
133,6,174,0
134,6,175,0
135,6,177,0
136,6,178,0
137,6,179,0
138,6,180,1
139,6,181,0
140,6,182,0
141,6,184,0
142,6,185,0
143,7,9,0
144,7,10,0
145,7,11,0
146,7,12,0
147,7,16,0
148,7,17,0
149,7,23,0
150,7,25,0
151,7,26,0
152,7,27,0
153,7,31,0
154,7,32,0
155,7,33,0
156,7,34,0
157,7,35,0
158,7,36,0
159,7,37,0
160,7,38,0
161,7,39,0
162,7,41,0
163,7,42,0
164,7,44,0
165,7,45,0
166,7,46,0
167,7,47,0
168,7,50,0
169,7,51,0
170,7,52,0
171,7,164,0
172,7,168,0
173,7,169,0
174,7,170,0
175,7,171,0
176,7,172,0
177,7,173,0
178,7,174,0
179,7,175,0
180,7,177,0
181,7,178,0
182,7,179,0
183,7,180,0
184,7,181,0
185,7,182,0
186,7,183,0
187,7,184,0
188,7,185,0
189,7,186,0
190,8,0,0
191,8,7,0
192,8,8,0
193,8,11,0
194,8,12,0
195,8,15,0
196,8,17,0
197,8,18,0
198,8,19,0
199,8,21,0
200,8,22,0
201,8,23,0
202,8,24,0
203,8,25,0
204,8,26,0
205,8,33,0
206,8,34,0
207,8,35,0
208,8,36,0
209,8,38,0
210,8,39,0
211,8,40,0
212,8,41,0
213,8,42,0
214,8,44,0
215,8,45,0
216,8,46,0
217,8,47,0
218,8,48,0
219,8,49,0
220,8,51,0
221,8,52,0
222,8,53,0
223,8,54,0
224,8,167,0
225,8,168,0
226,8,169,0
227,8,170,0
228,8,171,0
229,8,173,0
230,8,174,0
231,8,175,0
232,8,177,0
233,8,178,0
234,8,179,0
235,8,180,0
236,8,181,0
237,8,182,0
238,8,183,0
239,8,184,0
240,8,185,0
241,8,187,0
242,8,188,0
243,9,0,0
244,9,3,0
245,9,6,0
246,9,7,0
247,9,8,0
248,9,9,0
249,9,11,0
250,9,12,0
251,9,13,0
252,9,14,0
253,9,15,0
254,9,17,0
255,9,18,0
256,9,19,0
257,9,20,0
258,9,21,0
259,9,22,0
260,9,23,0
261,9,24,0
262,9,25,0
263,9,26,0
264,9,27,0
265,9,28,0
266,9,33,0
267,9,36,0
268,9,37,0
269,9,38,0
270,9,39,0
271,9,40,0
272,9,41,0
273,9,42,0
